title,man,description
Р-ИКС 1,ВЕРОФАРМ (RUS),"◊ капс. 250 мг: 2, 4 или 10 шт."
Р-ЦИН,LUPIN (IND),"капс. 150 мг: 40, 80 или 100 шт."
Р-ЦИН,LUPIN (IND),"капс. 300 мг: 40, 80 или 100 шт."
Р-ЦИН,LUPIN (IND),"капс. 450 мг: 40, 80 или 100 шт."
Р-ЦИН,LUPIN (IND),"капс. 600 мг: 40, 80 или 100 шт."
РАВЕЛ СР,КРКА-РУС (RUS),"таб., пролонгир. действия, покр. оболочкой, 1.5 мг: 20, 30 или 60 шт."
РАДЕВИТ,РЕТИНОИДЫ ФНПП (RUS),"◊ мазь д/наружн. прим. 5 мг+10 мг+50 мкг/100 г: тубы 10 г, 20 г или 35 г"
РАДЕДОРМ® 5,AWD.pharma (DEU),таб. 5 мг: 20 шт.
РАКСТАН-САНОВЕЛЬ,SANOVEL PHARMACEUTICAL PRODUCTS Ind. (TUR),"таб., покр. оболочкой, 100 мг: 30 шт."
РАМАЗИД Н,ACTAVIS hf. (ISL),"таб. 5 мг+25 мг: 10, 14, 28 или 30 шт."
РАМИТРЕН,RANBAXY LABORATORIES (IND),капс. 1.25 мг: 30 шт.
РАМИТРЕН,GlaxoSmithKline (GBR),капс. 1.25 мг: 30 шт.
РАМИТРЕН,RANBAXY LABORATORIES (IND),капс. 2.5 мг: 30 шт.
РАМИТРЕН,GlaxoSmithKline (GBR),капс. 2.5 мг: 30 шт.
РАМИТРЕН,RANBAXY LABORATORIES (IND),капс. 5 мг: 30 шт.
РАМИТРЕН,GlaxoSmithKline (GBR),капс. 5 мг: 30 шт.
РАНИГАСТ,POLPHARMA (POL),"таб., покр. оболочкой, 75 мг: 10 шт."
РАНИГАСТ,POLPHARMA (POL),"таб., покр. оболочкой, 150 мг: 20 или 60 шт."
РАНИСАН,ZDRAVLJE (UGS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИСАН®,PRO.MED.CS Praha (CS),"◊ таб., покр. оболочкой, 75 мг: 10 шт."
РАНИСАН®,PRO.MED.CS Praha (CS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН,HEMOFARM (RS),"таб., покр. пленочной обол., 150 мг: 30 шт."
РАНИТИДИН,HEMOFARM (RS),"таб., покр. пленочной обол., 300 мг: 30 шт."
РАНИТИДИН,SOPHARMA (BLG),"таб., покр. оболочкой, 150 мг: 60 шт."
РАНИТИДИН,NATUR PRODUKT EUROPE (NID),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН,NATUR PRODUKT EUROPE (NID),"таб., покр. оболочкой, 300 мг: 10 шт."
РАНИТИДИН,NATUR PRODUKT EUROPE (NID),таб. шипучие 150 мг: 10 шт.
РАНИТИДИН,NATUR PRODUKT EUROPE (NID),таб. шипучие 300 мг: 10 шт.
РАНИТИДИН,ФАРМСИНТЕЗ (RUS),"таб., покр. оболочкой, 150 мг: 20, 30, 50 или 100 шт."
РАНИТИДИН,ВАЛЕНТА ФАРМАЦЕВТИКА (RUS),"таб., покр. пленочной обол., 150 мг: 20 шт."
РАНИТИДИН,NEW LIFE PHARMACEUTICALS (IND),"таб., покр. пленочной оболочкой, 150 мг: 10 шт."
РАНИТИДИН,KRKA (SLO),"таб., покр. пленочной оболочкой, 150 мг: 20 или 100 шт."
РАНИТИДИН,KRKA (SLO),"таб., покр. пленочной оболочкой, 300 мг: 20 или 100 шт."
РАНИТИДИН,HEMOFARM KONCERN (UGS),таб. шипучие 150 мг: 20 или 30 шт.
РАНИТИДИН,HEMOFARM KONCERN (UGS),таб. шипучие 300 мг: 20 или 30 шт.
РАНИТИДИН,PANACEA BIOTEC (IND),"таб., покр. оболочкой, 150 мг: 20, 30 или 100 шт."
РАНИТИДИН,ОЗОН (RUS),"таб., покр. оболочкой, 150 мг: 20, 40, 60, 80 или 100 шт."
РАНИТИДИН,СЕВЕРНАЯ ЗВЕЗДА (RUS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН,ФП ОБОЛЕНСКОЕ (RUS),"таб., покр. оболочкой, 150 мг: 10, 20, 30, 50, 70 или 100 шт."
РАНИТИДИН,МОСХИМФАРМПРЕПАРАТЫ им. Н.А.Семашко ОАО (RUS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН,ФАРМПРОЕКТ (RUS),"◊ таб., покр. пленочной обол., 150 мг: 20 шт."
РАНИТИДИН,ИРБИТСКИЙ ХФЗ (RUS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН,JAKA-80 (MAK),"◊ таб., покр. пленочной обол., 150 мг: 20 шт."
РАНИТИДИН-АКОС,СИНТЕЗ (RUS),"таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН-АКОС,СИНТЕЗ (RUS),"таб., покр. оболочкой, 300 мг: 20 шт."
РАНИТИДИН-АКРИ®,Химико-фармацевтический комбинат АКРИХИН (RUS),"◊ таб., покр. оболочкой, 150 мг: 20 шт."
РАНИТИДИН-ФЕРЕЙН,БРЫНЦАЛОВ-А (RUS),р-р д/инъекц. 2.5% (50 мг/2 мл): амп. 5 шт.
РАНИТИДИН-ФЕРЕЙН,БРЫНЦАЛОВ-А (RUS),"таб., покр. оболочкой, 150 мг: 10 шт."
РАНКЛАВ,RANBAXY LABORATORIES (IND),"таб., покр. оболочкой, 375 мг: 14 или 21 шт."
РАНКЛАВ,RANBAXY LABORATORIES (IND),"таб., покр. оболочкой, 625 мг: 14 или 21 шт."
РАНКОТРИМ,RANBAXY LABORATORIES (IND),таб. 480 мг: 20 шт.
РАНКОТРИМ,RANBAXY LABORATORIES (IND),таб. 960 мг: 10 шт.
РАНОКСИЛ,RANBAXY LABORATORIES (IND),таб. диспергируемые 125 мг: 10 шт.
РАНОКСИЛ,RANBAXY LABORATORIES (IND),таб. диспергируемые 250 мг: 10 шт.
РАНТАК®,UNIQUE PHARMACEUTICAL Laboratories (IND),"таб., покр. оболочкой, 150 мг: 20 или 50 шт."
РАНТАК®,J.B. Chemicals & Pharmaceuticals (IND),"таб., покр. оболочкой, 150 мг: 20 или 50 шт."
РАНТАК®,UNIQUE PHARMACEUTICAL Laboratories (IND),"таб., покр. оболочкой, 300 мг: 20 или 50 шт."
РАНТАК®,J.B. Chemicals & Pharmaceuticals (IND),"таб., покр. оболочкой, 300 мг: 20 или 50 шт."
РАНТАК®,UNIQUE PHARMACEUTICAL Laboratories (IND),р-р д/в/в и в/м введения 50 мг/2 мл: амп. 10 шт.
РАНТАК®,J.B. Chemicals & Pharmaceuticals (IND),р-р д/в/в и в/м введения 50 мг/2 мл: амп. 10 шт.
РАНФЕРОН-12,RANBAXY LABORATORIES (IND),капс.: 30 шт.
РАПАМУН,WYETH LABORATORIES (GBR),р-р д/приема внутрь 1 мг/1 мл: фл. 60 мл или 150 мл
РАПИДО,SEDICO South Egypt Drug Industries (EGP),◊ капс. 120 мг: 10 шт.
РАПИДО,SEDICO South Egypt Drug Industries (EGP),◊ капс. 180 мг: 10 шт.
РАПИКЛАВ,IPCA LABORATORIES (IND),"таб., покр. оболочкой, 250 мг+125 мг: 15 или 21шт."
РАПИКЛАВ,IPCA LABORATORIES (IND),"таб., покр. оболочкой, 500 мг+125 мг: 15 или 21 шт."
РАПТЕН РАПИД,HEMOFARM (RS),"таб., покр. оболочкой, 50 мг: 10 шт."
РАПТЕН РАПИД,HEMOFARM (RS),"◊ таб., покр. сахарн. оболочкой, 12.5 мг: 10 шт."
РАПТИВА,Laboratoires SERONO (CHE),лиофилизат д/пригот. р-ра д/п/к введения 125 мг: фл. 1 или 4 шт. в компл. с растворителем в шприцах и иглами.
РАСИЛЕЗ,NOVARTIS PHARMA (CHE),"таб., покр. пленочной оболочкой, 150 мг: 7, 14, 28, 56, 84, 98 или 280 шт."
РАСИЛЕЗ,NOVARTIS PHARMA STEIN (CHE),"таб., покр. пленочной оболочкой, 150 мг: 7, 14, 28, 56, 84, 98 или 280 шт."
