title,forma,manufacturer,image-src
"ДжиЭнСи (GNC) Железо повышенного усвоения (Gentlesorb Iron) капсулы 384 мг 90 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/907/1.jpg"
"АнвиМакс Лимон с медом","пакетики 5 г, 12 шт.","ФармВИЛАР ФПК, Россия","http://www.eapteka.ru/upload/offer_photo/221/499/resized/230_230_1.jpg"
"Эладон таблетки покрыт.плен.об. пролонг. 80 мг 60 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/750/resized/230_230_1.jpg"
"Индоколлир","капли глазные 0.1%, 5 мл","Валеант, Россия","http://www.eapteka.ru/upload/offer_photo/207/658/resized/230_230_1.jpg"
"Ацеллбия","флаконы 10 мг/мл, 50 мл, 1 шт.","Биокад, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Туссамаг","сироп 200 г","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/246/70/resized/230_230_1.jpg"
"Сабельника болотного экстракт","капсулы, 40 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/224/671/resized/230_230_1.jpg"
"Лайфферон","лиофилизат, ампулы 1 млн. МЕ, 5 шт.","Вектор НПО, Россия","http://www.eapteka.ru/upload/offer_photo/213/043/1.jpg"
"Гексорал Табс Экстра таблетки для рассасывания Лимон 16 шт.","упак.","Джонсон и Джонсон, США","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Рисполепт Конста","флакон, 37.5 мг","Янссен-Силаг, Бельгия","http://www.eapteka.ru/upload/offer_photo/206/832/resized/230_230_1.jpg"
"Брал","таблетки, 10 шт.","Микро Лабс Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/225/646/resized/230_230_1.jpg"
"Стевия Норма","фитопакетики 2 г 20 шт.","Витачай, Украина","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Аевит","капсулы 20 шт.","Фарма АД, Болгария","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Клиофит эликсир","эликсир, 250 мл","Мелиген, Россия","http://www.eapteka.ru/upload/offer_photo/233/516/resized/230_230_1.jpg"
"Лозарел Плюс","таблетки 100 мг+25 мг, 30 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/218/168/1.jpg"
"Флемоксин Солютаб","таблетки 500 мг, 20 шт.","Астеллас, Нидерланды","http://www.eapteka.ru/upload/offer_photo/341/84/resized/230_230_1.jpg"
"Лецитин Наш","капсулы, 30 шт.","Ювикс-фарм, Россия","http://www.eapteka.ru/upload/offer_photo/233/702/resized/230_230_1.jpg"
"Расилез","таблетки 150 мг, 28 шт.","Новартис, Швейцария","http://www.eapteka.ru/upload/offer_photo/210/259/1.jpg"
"Стрептокиназа","флаконы 750000 МЕ","Белмедпрепараты, Белоруссия","http://www.eapteka.ru/upload/offer_photo/187/43/1.jpg"
"Клещ-Э-Вак","сусп. для в/м введ. 0,25 мл/доза ампулы 0,25 мл 10","ФГУП института им Чумакова, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"ЙодАнгин порошок для р-ра для полоск.полости рта с эвкалиптом и шалфеем саше 10 шт.","упак.","Фарминдустрия, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Менс формула Антистресс","капсулы, 60 шт.","Фарма-Мед, Канада","http://www.eapteka.ru/upload/offer_photo/203/871/1.gif"
"Мельдоний Органика р-р для инъекций 100 мг/мл ампулы 5 мл 10 шт.","упак.","Органика, Россия","http://www.eapteka.ru/upload/offer_photo/254/754/1.jpg"
"Белогент","крем , 30 г","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/123/888/resized/230_230_1.jpg"
"Октреотид","ампулы 0.01%, 1 мл, 5 шт.","Фарм-Синтез, Россия","http://www.eapteka.ru/upload/offer_photo/204/205/resized/230_230_1.jpg"
"Кестин","таблетки 20 мг, 10 шт.","Алмирал С.А., Испания","http://www.eapteka.ru/upload/offer_photo/208/670/resized/230_230_1.jpg"
"Бабушкин сироп микстура взрослая порошок 1,7г саше 10 шт.","упак.","Риа Панда, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Монтелукаст","таблетки жевательные 5 мг 28 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/237/009/1.jpg"
"Вальсакор","таблетки 80 мг, 90 шт.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Хлоропирамин","ампулы 20 мг/мл, 1 мл, 5 шт.","Сотекс, Россия","http://www.eapteka.ru/upload/offer_photo/227/909/1.jpg"
"Октреотид ФСинтез","ампулы 0.03%, 1 мл, 5 шт.","Ф-Синтез, Россия","http://www.eapteka.ru/upload/offer_photo/214/968/1.jpg"
"Алфавит Наш Малыш","саше, 45 шт.","Аквион, Россия","http://www.eapteka.ru/upload/offer_photo/213/270/resized/230_230_1.jpg"
"Остеокеа","флакон, 200 мл","Витабиотикс, Великобритания","http://www.eapteka.ru/upload/offer_photo/208/653/resized/230_230_1.jpg"
"Невиграмон","капсулы 500 мг, 56 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/216/36/resized/230_230_1.jpg"
"Улькавис таблетки покрыт.плен.об. 120 мг 28 шт.","упак","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/255/795/1.jpg"
"Неотон","флаконы 1 г, 4 шт.","Альфа Вассерман, Италия","http://www.eapteka.ru/upload/offer_photo/204/364/1.gif"
"Термикон","спрей 1%, 15 мл","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/217/959/resized/230_230_1.jpg"
"Бисангил","таблетки 5 мг + 6,25 мг 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/240/852/1.jpg"
"Септолете Нео пастилки лимон","18 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/211/306/resized/230_230_1.jpg"
"Имбрувика","капс. 140мг 90шт","Каталент Итали, США","http://www.eapteka.ru/upload/offer_photo/242/958/resized/230_230_1.png"
"Теночек","таблетки, 28 шт.","Ипка, Индия","http://www.eapteka.ru/upload/offer_photo/207/720/resized/230_230_1.jpg"
"Лизиноприл","таблетки 20 мг, 20 шт.","Озон, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Гепар композитум","ампулы 2,2 мл, 100 шт.","Хеель, Германия","http://www.eapteka.ru/upload/offer_photo/225/226/resized/230_230_1.jpg"
"Нимулид","таблетки лингвальные 100 мг, 10 шт.","Панацея Биотек, Индия","http://www.eapteka.ru/upload/offer_photo/205/947/1.jpg"
"Сумамед","капсулы 250 мг, 6 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/103/713/resized/230_230_1.gif"
"Момордика композитум","ампулы 2,2 мл, 100 шт.","Хеель, Германия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Динамико","таблетки покрыт.плен.об. 50 мг, 1 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/213/408/1.jpg"
"Летизен","таблетки 10 мг, 10 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/205/044/resized/230_230_1.jpg"
"Риностоп Аква Форте спрей назал. 125 мл","упак.","Лаборатория Де Ла Мер, Франция","http://www.eapteka.ru/upload/offer_photo/259/553/resized/230_230_1.jpg"
"Шиитаке","таблетки, 20 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/211/114/resized/230_230_1.jpg"
"Алфупрост МР","таблетки 10 мг, 30 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/225/452/resized/230_230_1.jpg"
"Корнам","таблетки 5 мг, 30 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/210/468/1.jpg"
"Артроцин","капсулы, 36 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/212/168/resized/230_230_1.jpg"
"Фибро-Вейн","ампулы 1% , 2 мл , 5 шт.","СТД Фармасьютикл, Великобритания","http://www.eapteka.ru/upload/offer_photo/204/748/resized/230_230_1.jpg"
"Ланцид Кит","таблетки и капсулы, 56 шт.","Микро Лабс Лимитед, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Тевабон","таблетки 70 мг, 4 шт.+ капсулы 1 мкг, 28 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/213/092/1.jpg"
"Гидрохлортиазид","таблетки 100 мг, 20 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/224/232/resized/230_230_1.jpg"
"Эдас-111","капли гомеопатические , 25 мл","Эдас, Россия","http://www.eapteka.ru/upload/offer_photo/113/244/resized/230_230_1.jpg"
"Коринфар ретард","табл. покрыт.плен.об.пролонг. д-я 20 мг  30 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/225/62/1.gif"
"Ципромед","капли ушные 3 мг/мл, 10 мл","Сентисс Фарма, Индия","http://www.eapteka.ru/upload/offer_photo/207/375/1.jpg"
"Коккулин","таблетки, 30 шт.","Лаборатория Буарон, Франция","http://www.eapteka.ru/upload/offer_photo/116/859/resized/230_230_1.gif"
"Заноцин","таблетки 200 мг, 10 шт.","Ранбакси, Индия","http://www.eapteka.ru/upload/offer_photo/292/46/resized/230_230_1.jpg"
"Ломилан","таблетки 10 мг, 10 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/990/50/resized/230_230_1.jpg"
"Физиомер спрей назальный гипертонический для взрослых и детей от 2 лет 135 мл","упак.","Лаборатория Де Ла Мер, Франция","http://www.eapteka.ru/upload/offer_photo/263/926/resized/230_230_1.png"
"Тимолол-пос","глазные капли 0,5%, 10 мл","Урсафарм Арцнаймиттель, Германия","http://www.eapteka.ru/upload/offer_photo/218/185/resized/230_230_1.jpg"
"Галидор","р-р для в/вен.и в/мыш.введ.25 мг/мл 2 мл амп 10 шт","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/217/20/1.jpg"
"Троксерутин Зентива","капсулы 300 мг, 60 шт.","Зентива, Чехия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Мирлокс","таблетки 7,5 мг, 20 шт.","Польфа, Польша","http://www.eapteka.ru/upload/offer_photo/210/316/1.jpg"
"Тизабри","флакон 20 мг/мл, 15 мл","Биоген, Нидерланды","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Сказания Алтая","бальзам для печени, 250 мл","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/229/165/resized/230_230_1.jpg"
"Доларен","таблетки 50+500 мг, 10 шт.","Наброс Фарма, Индия","http://www.eapteka.ru/upload/offer_photo/219/223/resized/230_230_1.jpg"
"Катадолон форте","таблетки пролонг. действия 400 мг, 7 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/215/540/resized/230_230_1.jpg"
"Меронем","флаконы 1 г, 10 шт.","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/205/118/resized/230_230_1.jpg"
"Брал","таблетки, 20 шт","Микро Лабс Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/124/142/resized/230_230_1.jpg"
"Джевтана концентрат д/приготов. р-ра для инфузий 40 мг/мл 1,5 мл флакон 1шт","упак.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/215/738/resized/230_230_1.jpg"
"АЦЦ гранулы для приготовления раствора для приема внутрь","600 мг 6 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/239/20/resized/230_230_1.png"
"Алвогений","капсулы 30 шт","Алвоген Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/238/753/resized/230_230_1.png"
"Флемоклав Солютаб","таблетки диспергируемые 250 мг+62,5 мг, 20 шт.","Астеллас, Нидерланды","http://www.eapteka.ru/upload/offer_photo/208/145/resized/230_230_1.jpg"
"Лоратадин-Тева таблетки 10 мг 7 шт.","упак.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/264/966/resized/230_230_1.jpg"
"Сироп Лимонника Доктор Вистонг","150 мл","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Бактериофаг синегнойный жидкий","флаконы , 100 мл","Микроген НПО, Россия","http://www.eapteka.ru/upload/offer_photo/237/841/resized/230_230_1.jpg"
"Анауретте спрей для местного применения для очищения ушной полости 15 мл","упак.","Замбон, Италия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Арника","мазь гомеопатическая , 25 г","Гомеопатическая фармация, Россия","http://www.eapteka.ru/upload/offer_photo/670/18/1.jpg"
"Флексен","гель 2.5%, 30 г","Италфармако, Италия","http://www.eapteka.ru/upload/offer_photo/204/754/resized/230_230_1.jpg"
"Уролесан","капли для приема внутрь , 25 мл","Галичфарм, Украина","http://www.eapteka.ru/upload/offer_photo/101/179/resized/230_230_1.jpg"
"Систейн","гель, 10 мл","Алкон, США","http://www.eapteka.ru/upload/offer_photo/230/227/resized/230_230_1.jpg"
"Аква Марис Ото","спрей, 100 мл","Ядран, Хорватия","http://www.eapteka.ru/upload/offer_photo/215/683/resized/230_230_1.jpg"
"Випидия","таблетки 12,5 мг 28 шт.","Такеда ГмбХ, Япония","http://www.eapteka.ru/upload/offer_photo/237/334/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Формула Волосы, кожа, ногти для женщин (Women`s Hair, Skin & Nails Formula) таблетки 30 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/252/006/resized/230_230_1.jpg"
"Интралипид","флаконы 20%, 100 мл, 10 шт.","Фрезениус Каби, Германия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Либексин Муко","сироп для детей 20 мг/мл, 125 мл","Санофи-Авентис, Франция","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Вальдоксан","таблетки 25 мг, 14 шт.","Сервье, Франция","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эральфон","шприцы 3000 ЕД, 0,3 мл, 6 шт.","Сотекс, Россия","http://www.eapteka.ru/upload/offer_photo/216/363/resized/230_230_1.jpg"
"Ригевидон 21+7","таблетки, 84 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/207/291/1.jpg"
"Долгит крем 5%","50 г","Долоргит, Германия","http://www.eapteka.ru/upload/offer_photo/250/57/1.gif"
"Нэйчес Баунти Гиалуроновая кислота 20 мг","капсулы 30 шт","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/237/705/resized/230_230_1.jpg"
"Салицилово-цинковая паста","25 г","Тульская фармфабрика, Россия","http://www.eapteka.ru/upload/offer_photo/228/832/1.jpg"
"Эгипрес","капсулы 10 мг+10 мг 30 шт.","Эгис, Венгрия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Лозап","таблетки 100 мг, 30 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/212/624/1.jpg"
"Полиглюкин","флаконы 6% , 400 мл","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/447/54/resized/230_230_1.jpg"
"Препидил","гель 0.5 мг , 3 г","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/113/563/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) L-аргинин 1000 мг (Arginine 1000 mg) капсулы 90 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/874/1.jpg"
"Омнискан р-р для в/вен. введ. 0.5 ммоль/мл флаконы 10 мл 10 шт.","упак.","ДжиИ Хэлскеа АС, Норвегия","http://www.eapteka.ru/upload/offer_photo/248/500/resized/230_230_1.jpg"
"Про-Визио","таблетки 700 мг, 30 шт.","Юнимед Фарма, Словакия","http://www.eapteka.ru/upload/offer_photo/231/059/resized/230_230_1.jpg"
"Венозол капсулы 0,5 г 36 шт.","упак.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/233/569/resized/230_230_1.png"
"Диклофенак-Акри","гель 1%, 40 г","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/230/992/1.jpg"
"Эпокрин","ампулы 10000 МЕ, 10 шт.","Гос. НИИ Особо чистых биопрепаратов, Россия","http://www.eapteka.ru/upload/offer_photo/233/239/resized/230_230_1.jpg"
"Акридерм ГК","мазь, 30 г","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/212/698/1.jpg"
"Кардура","таблетки 2 мг, 30 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/250/14/resized/230_230_1.jpg"
"Нистатин","мазь 100000 ЕД/г 15 г","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/448/06/resized/230_230_1.jpg"
"Солиан","таблетки 400 мг, 30 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/207/309/resized/230_230_1.jpg"
"Симгал","таблетки покрыт.плен.об. 20 мг 28 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/205/338/resized/230_230_1.jpg"
"Румикоз","капсулы 100 мг, 6 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/207/292/1.jpg"
"ДжиЭнСи (GNC) L-Тианин 200 мг (L-Theanine 200mg) таблетки 60 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/880/1.jpg"
"Ливео Дети","пакетики 2 г, 8 шт.","Сагитас, Латвия","http://www.eapteka.ru/upload/offer_photo/222/680/resized/230_230_1.jpg"
"Бидоп","таблетки 5 мг, 56 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/210/833/1.jpg"
"Напроксен-Акри","таблетки 250 мг, 30 шт.","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/383/83/1.gif"
"Бикалутамид-Тева таблетки покрыт.плен.об. 150 мг","28 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/212/329/resized/230_230_1.jpg"
"Везомни таблетки с модиф. высв. покрыт.плен.об. 6 мг+0,4 мг 10 шт.","упак.","Астеллас, Нидерланды","http://www.eapteka.ru/upload/offer_photo/260/160/1.jpg"
